     ====> Interaction part
Nucleon-Nucleon interaction model: who knows?
Type of calculation: magical
Number and value of starting energies:   1
  0.000000E+00
Total number of twobody matx elements:         34320    5781    22758    5781                    
Matrix elements with the following legend, NOTE no hw/A for Hcom, pipj and rirj
      Tz      Parity    J2        a        b        c        d     <ab|V|cd>    <ab|0|cd>    <ab|0|cd>    <ab|0|cd>
      -1        0        2        1       27       11       29     0.512152     0.000000     0.000000     0.000000
      -1        0        2        1       27       13       15     0.278760     0.000000     0.000000     0.000000
      -1        0        2        1       27       15       17    -0.953431     0.000000     0.000000     0.000000
      -1        0        2        1       27       17       19    -0.659123     0.000000     0.000000     0.000000
      -1        0        2        1       27       21       23    -0.205352     0.000000     0.000000     0.000000
      -1        0        2        1       27       23       25     0.498330     0.000000     0.000000     0.000000
      -1        0        2        1       27       25       27     0.293071     0.000000     0.000000     0.000000
      -1        0        2        1       27       27       29     0.987901     0.000000     0.000000     0.000000
      -1        0        2        1       29        1       29     0.316318     0.000000     0.000000     0.000000
      -1        0        2        1       29        3        5    -1.812841     0.000000     0.000000     0.000000
      -1        0        2        1       29        3       15    -0.507444     0.000000     0.000000     0.000000
      -1        0        2        1       29        3       17    -0.931314     0.000000     0.000000     0.000000
      -1        0        2        1       29        3       19    -0.781827     0.000000     0.000000     0.000000
      -1        0        2        1       29        5       17    -2.501285     0.000000     0.000000     0.000000
      -1        0        2        1       29        5       19     0.152561     0.000000     0.000000     0.000000
      -1        0        2        1       29        7        9     0.563526     0.000000     0.000000     0.000000
      -1        0        2        1       29        7       23    -0.173735     0.000000     0.000000     0.000000
      -1        0        2        1       29        7       25     0.027975     0.000000     0.000000     0.000000
      -1        0        2        1       29        7       27     1.241330     0.000000     0.000000     0.000000
